,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Country Name
Afghanistan,-0.012506985326501786,-0.06842860101990082,-0.014775525491053272,-0.018538816316438413,0.010136012871034022,-0.04344853905018959,-0.010974866317322163,0.04677105721852291,0.07177582633346975,-0.038048944940568395,0.9628950675986201,-0.1244475587721771,-0.18708858679620544,-0.24657832267643634,-0.1618278529270234,-0.25439653052578937,-0.08267083585960243,-2.2547369787776925,-0.2469046801369404,-0.15058556429473727,-0.24443756932672925,-0.5095276345574787,1.7653541528365646,0.8195511822621648,0.5690624345268712,0.7727764114383259,Afghanistan
Albania,0.09636213502172392,0.6439422048827809,-0.19786765268301545,-0.23296097415633316,-0.10605822655322716,-0.09441993321474926,0.11118101457340118,-0.25161975864576613,-0.1471985317767755,-0.49362635598526616,-0.32800053435892496,-0.3807578467086877,-0.15137501708382498,-0.13537092201225567,-0.28633648220949887,-0.2564105558138742,-0.09707621741063961,-0.049274433233937515,0.043546551059234814,-3.1978343837635657,0.10312973267646477,-0.25770753937074786,0.2185363629253531,0.1545928153055804,-0.017015827989089877,-0.013525629096760744,Albania
Algeria,0.19777976999115224,-1.901217942596971,-4.862110301587336,0.3555856609506071,2.5185422413192646,-0.7211967210477257,-6.952877079796375,4.377015524610156,12.012907992781201,-0.4128272247169678,5.059794202345006,-0.7581047019225036,0.004643464126074173,0.05694819560798674,0.12560229348745539,0.2659768867295863,0.24911426324027128,0.13267821394660842,-0.136004707747749,0.14018388932749853,0.05726369945955354,0.15044537482999965,0.24673575199764725,9.789078661896404,0.07370626275167917,0.40059961787471365,Algeria
Angola,-0.051105672080720484,-0.07859898518048297,0.031479227985701526,2.853338748405013,0.018679536542922346,-0.03609972662895816,-0.06813040561125185,0.04559017965638557,0.09985399279643192,-0.015102579722807449,0.10519062066216098,-0.021694111321232848,-0.03848122156808922,-0.018757404135766025,-0.011045503599527344,-0.018994418940018118,-0.04030363061200672,-0.031186229635245526,0.04659593470421737,-0.08180176275674755,-0.04533021525121481,-0.1284030017440136,-0.43932733483462766,-0.4567574402681989,0.05593986496414405,0.07872962339521239,Angola
Antigua and Barbuda,0.16868753647072773,0.5922349828286977,0.30168596965473155,0.22895904080041987,-0.4670348284037039,0.2439205151962675,0.28751430663151667,0.21358606667000432,0.1615715948331761,0.0,0.10250944636211703,-2.24032350670362,-0.22844693882864472,-0.16139046924496137,-0.10115982079287167,-0.08230681992239305,-0.07817385240479159,-0.3235345295966757,0.0708527689109566,0.09504163736262645,0.30323564045569507,-0.14887887194260666,0.22631706997139514,-0.13574399512936292,-0.10777074943074,-0.09116481291638164,Antigua and Barbuda
Argentina,-0.03620603156613065,-0.07314730478399896,-0.7527094031924223,-0.23801178248698238,1.76281965763404,-0.43661851765944093,-0.2714714215351503,-1.6548180003445465,0.2087346184994188,1.2618350306961186,0.14454844402707306,0.013254275151152857,-0.032542177132021836,-0.049748487062513676,-0.04525790299039919,-0.052112934572952706,-0.0348902345142564,-0.02824344517446417,0.06547552914255679,-0.019744562082034383,-0.021985408011396132,-0.054692370607694676,-0.11668288376109286,0.06549262484017247,-0.04795305141651819,0.045106644130643865,Argentina
Armenia,0.30103506340304675,0.0859404927560684,0.9670651293639605,-0.504685571325559,-0.49593768618642936,-0.22036983783935618,-1.453796616021468,-0.28332130876996947,1.9216443949942517,-0.5182883403542459,-0.06855317730536145,0.009561679497042754,0.03582676865298003,0.03665271805482906,0.02534958460284744,0.02471261906469459,0.010387933212416446,0.008464916295893207,0.006938505611926319,-0.07848397439358219,-0.08038472405603943,0.4582333995420602,-0.2264613366132318,-0.22024542876205014,0.07725657315339567,1.4382284377743462,Armenia
Australia,-6.514787021701278,-0.9262318967427087,0.4051548600723073,-0.07030839946726249,-0.1621186505391224,-0.14396910364673415,1.5719167655421546,0.07688778912679162,-0.04773476103369655,-0.010964567148476642,0.17359416516305867,0.09433462054321644,-0.01695784524462772,0.05745867647365664,0.20977365064679476,0.9792792393888001,0.1472451260878002,0.2452519295905952,0.11224505346566352,-0.08484669755573393,-0.006101712645958535,-0.38851028534803295,0.7737346824467694,0.2497355161985377,0.041423303024657264,0.0,Australia
Austria,0.9148135061590172,0.0,0.20914137515631265,-0.32364199651013337,-0.1911788681513351,-1.1045624351812744,0.39466848667845117,-0.5835647703816733,3.54914725144824,-0.15566981323787724,27.588202591551088,0.5899692009536324,-0.03268260127982445,0.2010263966614509,-0.15537599957424514,0.0,-0.13917759525471335,0.28021073563726734,0.2872386493787965,-1.44040089307924,-0.07354061555398553,-0.1254010746933093,0.0,1.0068065581801087,-0.09549888890665702,0.0,Austria
Azerbaijan,4.514319990776489,0.20548346511568166,0.0651176043722208,0.3503592603466629,0.8274381278308225,-4.88419508113341,0.02054023894385024,-0.29888204156669945,1.5832000038219365,-0.23949794042973613,-1.376344527538114,0.0,0.35829060141185914,0.44735071588060615,-0.05109693675779668,-0.02644166312873936,0.0,-0.07694940199112398,0.40588388662850544,0.3049466638415151,0.09015233463728065,0.47451402172945784,-0.19759999536438508,-2.9231677806222285,0.05023268184011779,-0.0,Azerbaijan
