Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,3621600882.0,3340099754.0,3474599287.0,2664399655.0,2114600124.0,3236300894.0,3124360571.0,3016290743.0,2911960807.0,2719992579.0,3531870031.0,3620525920.0,4285170976.0,4935549827.0,5586985226.0,6621833053.0,7514264232.0,10380167535.0,10768482512.0,12572595013.0,16077923242.0,19170466386.0,21330876011.0,21610367230.0,21330667120.0,20608090681.0,20235067769.0
Albania,2145772562.0,1597157823.0,1516149647.0,1700438277.0,1880950223.0,2392754895.0,3199640991.0,2224650653.0,2554882800.0,3221673260.0,3487589646.0,3926883832.0,4355860315.0,5561448759.0,7177032676.0,8052079314.0,8896076004.0,10677304624.0,12881373508.0,12044194186.0,11926972559.0,12890912939.0,12319758466.0,12776271938.0,13228249213.0,11386968186.0,11861311248.0
Algeria,61751383149.0,46564983797.0,49105560862.0,50846934023.0,42330715648.0,41971492798.0,46836306502.0,48068458644.0,48079001605.0,48531031757.0,54666902140.0,55056731307.0,56819212675.0,67863855833.0,85332491715.0,103000000000.0,117000000000.0,135000000000.0,171000000000.0,137000000000.0,161000000000.0,200000000000.0,209000000000.0,210000000000.0,214000000000.0,166000000000.0,160000000000.0
Angola,13661851197.0,16182941506.0,18586035688.0,13468128705.0,13860721983.0,6642228785.0,8725775660.0,10226792032.0,8617787233.0,8227191128.0,12207357551.0,11948601236.0,15285593360.0,17812702660.0,23552037061.0,36970881884.0,52381035503.0,65266406341.0,88538673050.0,70307174484.0,83799482518.0,112000000000.0,128000000000.0,137000000000.0,146000000000.0,116000000000.0,101000000000.0
Antigua and Barbuda,459507111.5,481676999.9,499188550.1,535174074.1,589403317.4,577298294.7,633756722.5,680646994.7,727809558.4,766200000.0,826272531.3,800481481.5,814412685.8,856515090.2,919855563.5,1022925292.0,1157816937.0,1312806129.0,1370022240.0,1228287149.0,1148726099.0,1137598798.0,1199921603.0,1181370690.0,1249733333.0,1336764023.0,1436478802.0
Argentina,153000000000.0,206000000000.0,248000000000.0,257000000000.0,279000000000.0,280000000000.0,295000000000.0,318000000000.0,324000000000.0,307000000000.0,308000000000.0,291000000000.0,111000000000.0,140000000000.0,166000000000.0,201000000000.0,234000000000.0,290000000000.0,366000000000.0,336000000000.0,426000000000.0,530000000000.0,581000000000.0,613000000000.0,567000000000.0,645000000000.0,558000000000.0
Armenia,2301742682.0,2101675098.0,1251991792.0,1168730527.0,1257274951.0,1372097460.0,1703033305.0,1747510530.0,2017855482.0,1968056560.0,2038538787.0,2259107468.0,2534161640.0,2993556345.0,3814170338.0,5225959579.0,6808510909.0,9817796769.0,12436651353.0,9222363133.0,9875360618.0,10815770091.0,10619339102.0,11121483621.0,11609489324.0,10553359172.0,10546150608.0
Australia,324000000000.0,330000000000.0,326000000000.0,317000000000.0,363000000000.0,391000000000.0,435000000000.0,436000000000.0,390000000000.0,427000000000.0,409000000000.0,390000000000.0,435000000000.0,558000000000.0,678000000000.0,761000000000.0,818000000000.0,985000000000.0,1060000000000.0,1010000000000.0,1300000000000.0,1550000000000.0,1590000000000.0,1540000000000.0,1460000000000.0,1250000000000.0,1310000000000.0
Austria,166000000000.0,174000000000.0,195000000000.0,190000000000.0,204000000000.0,241000000000.0,237000000000.0,213000000000.0,218000000000.0,217000000000.0,197000000000.0,197000000000.0,213000000000.0,262000000000.0,301000000000.0,316000000000.0,336000000000.0,389000000000.0,430000000000.0,400000000000.0,392000000000.0,431000000000.0,409000000000.0,430000000000.0,442000000000.0,382000000000.0,395000000000.0
Azerbaijan,6518066700.0,6691322394.0,5297110816.0,4169972437.0,3421909492.0,3080797928.0,3176556512.0,3962337296.0,4446395105.0,4581222442.0,5272618494.0,5707616158.0,6236048538.0,7276413079.0,8680401938.0,13245429637.0,20981946516.0,33049404087.0,48851296676.0,44292384001.0,52906022308.0,65952778371.0,69679853342.0,74160545107.0,75239689997.0,53076222692.0,37866999244.0
Bahamas,4767616115.0,4685379596.0,4682367199.0,4656256322.0,4907606371.0,5164516253.0,5862555249.0,6332510183.0,6833270543.0,7683926130.0,8076337414.0,8317800000.0,8881113399.0,8869930036.0,9055271604.0,9835866938.0,10167269286.0,10618237056.0,10525969373.0,9981885791.0,10095629339.0,10070540031.0,10720411543.0,10562498624.0,10913064440.0,11752111564.0,11938178878.0
Bahrain,4909090689.0,5197577969.0,5432168748.0,5946514481.0,6410188625.0,6786980652.0,7058982169.0,7315377028.0,6997838830.0,7582435317.0,9062893305.0,8976272105.0,9593430808.0,11074822141.0,13150198571.0,15968601091.0,18504855144.0,21730117316.0,25710966673.0,22938200982.0,25713354165.0,28776654489.0,30749285226.0,32539582242.0,33387636191.0,31125843250.0,32267883259.0
Bangladesh,28136571663.0,30066721830.0,30690546101.0,31685289857.0,33674743746.0,37866030729.0,39795981010.0,41169355155.0,42676521439.0,44758116878.0,45469588913.0,45432925632.0,47194752184.0,51690435441.0,55949961241.0,57628097481.0,69971613427.0,79825875440.0,91646938196.0,102000000000.0,115000000000.0,124000000000.0,129000000000.0,154000000000.0,173000000000.0,194000000000.0,220000000000.0
