,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,-0.1392203516517209,-0.04494140458335657,-0.2977103577220128,-0.2648722531842602,0.4429973807057359,-0.07262392931254169,-0.059709884003162544,-0.05320682849958628,-0.08597906569160907,0.26042348085035294,-0.014135381070040288,0.131533698053604,0.09924127366072068,0.08411084189714646,0.14237040078462748,0.10133782547302946,0.34737142540916155,0.014142911209505208,0.13988351993800313,0.24416112932046258,0.15545329054303617,0.07541723845237149,-0.02168967782682843,-0.045515026874650207,-0.06315046775805755,-0.04500289561357628
Albania,-0.2543851486072099,-0.04062754361934376,0.1393435444842345,0.12326884512543589,0.28582762735780065,0.3433588013344867,-0.3049537364433027,0.14439886908521699,0.2561405526727422,0.08027529588012243,0.12579555927737188,0.11048920687733392,0.28011773456410477,0.29595172419530275,0.12849557489566724,0.11339781513676772,0.21170959958108326,0.21900539891024723,-0.05567013610204896,-0.0013298793464593072,0.08799024226899983,-0.039548111582872525,0.04073499271320807,0.03805062304835417,-0.13747090579721036,0.04313518932007547
Algeria,-0.26425387742337025,0.0300626318593348,0.012711436108644865,-0.18455024968792935,-0.027242569210300886,0.09651398351389533,0.009863334678421869,-0.01468055750571572,-0.004793365636910089,0.11123370954228083,-0.005974691227756486,0.018936737229036733,0.17923966774090275,0.24094553962460408,0.19267294726051984,0.11744435904213382,0.1356261473250254,0.24632675453688635,-0.21129947105650437,0.1538694228541451,0.21760835062416203,0.024997004826059308,-0.016565063746941062,-0.0011878448808471916,-0.23942414341347715,-0.05539424228807212
Angola,0.1458029780205415,0.1114329301201767,-0.29851159152540496,-0.0035230256755984504,-0.5359577109738635,0.2721281095044888,0.1349135204162053,-0.18410679664295393,-0.07584581609017262,0.4359433712992738,-0.05298123015268079,0.23738951473822886,0.1266099928178561,0.27732826710354697,0.5151921504069931,0.36645273890862773,0.20096672062856877,0.3071594688002044,-0.2347892625420869,0.14893801431989068,0.28640494471458433,0.10500071586959783,0.03034942803718849,0.029215932611319627,-0.2295369694901035,-0.15860602626330195
Antigua and Barbuda,0.034515983958162876,0.018734170856524134,0.05060618360871013,0.07799273963900194,-0.04151849185151234,0.07426985800849413,0.05105733858769276,0.047209525213215704,0.03223545165046481,0.05949031587814407,-0.04633298090687867,0.003292056315798177,0.038263847115130145,0.06010377448075848,0.09682887311084894,0.11472252301897815,0.11613255582246924,0.026901669147835164,-0.11739738457021803,-0.0784470028143105,-0.0232236999270392,0.041285724588164534,-0.027327086327380283,0.04584418806043302,0.0581052133560075,0.06380500881460016
Argentina,0.3234157781735484,0.18974705198574537,0.021435322986857235,0.07476451721186261,-0.0106804508458025,0.0422906491010623,0.06386225113252357,0.009300352296860414,-0.062099219817331026,-0.008570840258968392,-0.06483182426247848,-0.6245149589616803,0.2564850483768181,0.16918773141297916,0.1964846186691232,0.15651789557410856,0.2239165230261725,0.249444497353692,-0.08924054318963326,0.2551478910691443,0.23030235038694552,0.08529471774567789,0.043818852715931195,-0.08500883624248058,0.1257330851937351,-0.14408372810998066
Armenia,-0.0783460417991251,-0.39348651649876826,-0.04437825888199784,0.10178883023145416,0.1138205735487638,0.2604394352315468,0.03762256826899422,0.1637624085321944,-0.01846825068691514,0.042367260197837806,0.11506905769553746,0.1279316662509336,0.18755833399363903,0.28143980932468693,0.3790835139969197,0.3129369634525844,0.45461884289464677,0.2776372714234566,-0.25344065598373966,0.0748177019599966,0.09552408116185727,-0.020783752413785727,0.042459276974976624,0.038571268783271766,-0.09505911210801736,-0.004286682109401809
Australia,0.004277254919338382,-0.022772355926315505,-0.03791184804937074,0.13006556146469714,0.06697417764490868,0.09911871762333463,-0.006375828500986421,-0.11703906748791879,0.08322568592059257,-0.05196744769626393,-0.05576854144252976,0.1036282663108821,0.26865492580666994,0.19912828313230851,0.10515535893758718,0.057076413236446875,0.18153103235817325,0.05203471014150631,-0.058376018831360676,0.2571265295328606,0.17000872681661502,0.01202773098291486,-0.044496900259532964,-0.0648984801048994,-0.1590840264002581,0.03602549090578333
Austria,0.03743558125442989,0.11411213595026178,-0.031665262559078595,0.061796677241094104,0.17791508952366064,-0.019126814284529874,-0.10484574203802761,0.024656199172582563,-0.006169879316797198,-0.09587840329403544,-0.0007995745085679238,0.07646633397466567,0.22012460216126337,0.1441875680395914,0.04532394668689925,0.05927714035672314,0.1528737129402322,0.10344181560516141,-0.07355124600770332,-0.024973063536974566,0.09443005599193816,-0.05576512809088476,0.04379585984250963,0.020692488705071045,-0.14246702063904698,0.026999084245061436
Azerbaijan,0.010509945145977934,-0.22043704208455991,-0.22418730367502826,-0.19028087512430353,-0.11030412812751389,0.020563609674534213,0.23633458915978833,0.11314304781749926,0.022107124757142427,0.1411971437420103,0.07265622669265182,0.08205398016763983,0.1550572505576102,0.18059538258517643,0.5098755768986264,0.5672865555758693,0.5581486861352396,0.4617709040540248,-0.10373721289515607,0.18017922955081273,0.23109033634186282,0.043008556819721905,0.05060728863661899,0.0017277506559784262,-0.30315774189418415,-0.29485685863963657
