Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,291.7749066,251.1539015,239.8666924,168.4558936,123.8366015,178.6958916,165.7182938,155.8232737,147.5324115,134.8477126,169.9652233,167.5627001,189.6028417,208.4192692,225.9495894,258.118123,284.2752523,383.0243519,388.4414313,442.777986,550.8871591,636.5243807,684.5292917,669.6820719,639.2014744,598.8356023,571.8862662
Albania,652.9905213,486.8794305,467.0987152,532.1859058,597.7878478,768.65213,1032.575604,717.6878154,821.3211243,1031.694771,1114.514374,1254.715333,1393.347835,1783.649274,2311.523352,2608.543874,2904.34705,3519.225201,4289.95452,4051.132168,4045.744651,4401.730703,4227.650566,4399.863881,4567.281443,3939.413126,4109.340457
Algeria,2397.285997,1763.793877,1816.818163,1839.912531,1500.356214,1459.482656,1600.343141,1616.127861,1592.402203,1584.769237,1761.048998,1750.527274,1783.676549,2103.382141,2610.182686,3113.094277,3478.709639,3950.513625,4923.630825,3883.270236,4480.786786,5455.843408,5592.223152,5499.587619,5493.054962,4177.884983,3946.45421
Angola,1153.055982,1321.174978,1468.397377,1030.063739,1026.434798,476.3091532,605.9262626,687.6739078,561.0684675,518.5137717,744.5564134,705.1088987,872.494358,982.9608624,1255.563695,1902.420255,2599.567368,3121.993897,4080.943884,3122.782079,3587.883041,4615.470485,5100.09819,5254.883253,5408.409568,4166.979626,3506.071546
Antigua and Barbuda,7348.233917,7601.865441,7744.280087,8136.188547,8770.752182,8406.603779,9030.961048,9492.057884,9940.17343,10260.59941,10871.00571,10367.31961,10401.44941,10799.44888,11448.53652,12557.08541,13997.66593,15623.25065,16043.54217,14160.07228,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746
Argentina,4696.261755,6215.106905,7394.405118,7552.90658,8117.595994,8030.896409,8370.528231,8905.089007,8987.909472,8429.767306,8357.517117,7815.684036,2934.672441,3687.372044,4311.230155,5158.320568,5965.690048,7301.506621,9122.82727,8308.701209,10428.6488,12830.39113,13924.75572,14534.92254,13299.32569,14971.49094,12814.34271
Armenia,650.5471997,599.5794016,363.6529915,347.5147049,382.8878202,426.4683315,537.5375029,557.7610443,649.1013363,637.1135701,664.1063265,740.5244157,835.2609381,991.9210881,1271.08717,1752.935361,2301.49363,3347.796001,4277.268948,3193.2351,3432.145612,3759.998168,3681.851297,3838.180041,3986.223515,3607.296647,3591.833313
Australia,19092.13071,19173.79262,18737.16019,18026.79982,20371.46566,21735.82782,23890.2552,23737.93503,20959.66925,22704.0521,21524.18046,20323.80831,22429.92933,28455.84033,34122.20296,37710.33546,39862.70615,47099.02435,49549.80843,46657.28788,58654.11439,68625.8257,69451.23867,66360.87383,62054.15398,52182.32931,54062.22334
Austria,21552.16409,22358.98188,24910.41306,24121.61829,25612.25415,30169.06064,29592.02262,26489.42505,27142.55359,26975.08731,24388.75901,24369.25838,26232.68623,32007.14585,36622.17837,38282.04003,40551.28989,46750.51614,51586.47441,47792.22494,46598.70667,50999.02515,48155.05798,50264.05015,51304.13844,43994.99069,45182.81515
Azerbaijan,899.9426323,909.40098,708.9353179,550.0010205,445.346345,396.2228047,404.3705758,499.9373297,556.5017629,568.8044168,649.1179758,696.2804386,753.4130199,870.2351713,1027.395625,1551.239562,2431.23691,3788.228597,5537.522341,4963.075207,5857.318274,7210.887924,7521.017807,7901.636126,7915.288183,5515.707291,3889.363166
Bahamas,18607.00127,17951.16451,17601.03147,17177.63755,17790.91594,18432.917,20644.25399,22036.62331,23514.35149,26130.20383,27097.71147,27486.13764,28866.93103,28327.3028,28395.95602,30278.36692,30713.85632,31471.98041,30627.23863,28552.30489,28443.52035,28006.16278,29485.62093,28767.95154,29445.03053,31405.96356,31588.91858
Bahrain,9898.817143,10196.08753,10384.92769,11089.85715,11663.58308,12040.10064,12198.82136,12296.25992,11402.75874,11911.95418,13636.40828,12868.28486,13049.80114,14222.04747,15846.55294,17959.25927,19307.60754,20976.55554,23066.50698,19355.90657,20722.13729,22514.24868,23654.35168,24744.38377,24989.38021,22688.90563,22631.53435
Bangladesh,272.7153044,284.7251038,284.2145975,287.132812,298.6999781,328.7839955,338.257592,342.6195033,347.8606225,357.5224876,356.1832244,349.2457261,356.2457521,383.4841059,408.4343365,414.4847568,496.530233,559.5518173,635.0955901,699.85704,775.9272509,827.3845735,853.6053578,1004.867177,1120.013603,1244.53229,1394.605662
Barbados,7874.346353,7782.366203,7493.850196,7874.690011,8247.338833,8637.001021,9171.656471,9653.102951,10837.9233,11309.99665,11609.32498,11549.38832,11705.86993,12054.7206,12891.44197,14242.43542,15199.27778,16770.72121,17092.40353,15886.11332,16056.11685,16459.05806,16249.84048,16452.03692,16488.46788,16525.0859,16900.19228
Belarus,1919.031478,1954.576921,1807.47275,1713.640156,1549.847882,1421.339468,1492.40091,1456.090066,1578.44207,1264.461374,1091.023962,1301.82595,1548.198018,1903.911189,2487.812743,3266.230517,4015.189873,4937.204756,6644.254888,5393.021353,6075.203686,6559.770943,6975.213748,8014.801968,8356.156162,5980.744507,5052.440508
Belgium,20519.53572,20968.06796,23297.23409,22207.96454,24113.47423,28276.1338,27349.93534,24717.32827,25253.01354,25172.79419,22972.53389,22922.64225,24811.61325,30460.55304,35166.87994,36556.89073,38410.29642,43963.2577,47801.66787,44320.40467,43967.73975,47453.46784,44760.05739,46767.2847,47648.78968,40941.89722,41927.00579
Belize,2393.866469,2506.66738,2666.881559,2832.975268,2880.125469,2996.382861,3001.833835,2952.948614,2992.444787,3065.979685,3364.423769,3404.407454,3525.688951,3650.418901,3802.359678,3883.162835,4153.912429,4252.487024,4404.300536,4186.525905,4270.799647,4423.490439,4505.62068,4568.542052,4705.610045,4775.915077,4818.404393
Benin,400.311403,392.2452805,428.2761716,418.8581816,284.3728518,397.0529157,418.704018,390.2459561,410.0684933,403.6224643,374.1938396,378.7406768,418.7025075,519.2838073,583.397373,601.7961279,625.8225564,706.0415548,820.1591764,793.4560564,757.6974108,825.943589,834.2963427,910.6564579,930.8262678,799.378537,789.0923251
Bhutan,515.4445743,436.0813288,439.0948878,414.6814727,487.9759488,540.8237142,564.4697988,645.8523389,638.5332275,695.3147662,743.0235978,789.2069729,871.8034328,990.6715789,1100.063096,1262.248161,1365.55781,1798.968291,1873.608113,1864.524816,2312.848035,2625.435373,2599.400683,2532.01593,2724.156866,2829.889238,3012.970576
Bolivia,709.0598561,762.0763392,788.1484073,784.1957976,801.0332273,880.982582,950.8541574,998.5232446,1049.493017,1003.390789,997.5757404,948.8688054,904.2266197,907.541054,967.3744877,1034.315821,1218.87199,1372.617904,1715.207371,1754.214736,1955.47696,2346.349839,2609.880814,2908.199819,3081.878823,3035.972213,3076.656283
Bosnia and Herzegovina,1737.401873,1399.687717,1118.327334,890.102267,715.9209975,531.1359566,750.5051326,1038.310474,1161.195321,1283.395811,1517.692671,1583.164779,1834.444345,2315.895747,2765.565543,2980.560329,3416.572016,4193.365538,5090.948743,4714.731921,4635.393495,5092.419516,4778.604734,5131.562662,5329.74493,4727.300033,4994.574456
Botswana,2891.988952,2915.890642,2984.247367,2918.007626,2970.072229,3219.904307,3221.67944,3259.013044,3039.985118,3405.816096,3522.297747,3278.033118,3190.612102,4330.913364,5073.562476,5520.18822,5516.066341,5832.719099,5713.571143,5255.743305,6434.7945,7617.291811,7070.293485,7224.897813,7780.61876,6799.859666,7243.940267
Brazil,2730.793363,2496.447743,2350.885274,2594.440491,3640.99903,4802.205413,5161.278889,5271.918047,5028.795819,3447.515982,3732.243398,3164.555648,2851.939429,3074.222896,3637.313851,4790.456694,5886.391428,7348.18804,8831.183643,8597.794202,11286.07166,13245.38771,12370.22282,12300.38622,12112.83525,8813.989375,8707.113904
Brunei,15076.86817,15405.5222,16929.06877,16151.00747,15646.8358,17654.57446,18607.27214,18458.02006,14061.17029,15623.36747,19959.20668,18251.7069,18670.90274,20566.27304,24268.13226,28926.01354,34326.55848,36191.78864,42034.31569,30977.13367,35268.89835,47054.4969,47741.77506,44740.88357,41725.44949,31164.32915,27156.4242
Bulgaria,2344.186603,958.3786415,1092.139708,1391.191041,1261.605914,2266.520571,1482.731925,1378.033139,1847.092671,1690.477238,1656.172907,1788.42271,2085.245321,2709.393949,3377.532549,3885.62167,4505.368457,5860.561842,7235.197632,6957.832948,6782.963385,7774.497638,7364.603377,7625.778791,7850.760855,7032.294077,7520.155731
Burkina Faso,399.9597863,393.6124794,410.256331,380.5947911,219.3877294,267.9647041,283.3360105,260.7618877,290.560226,300.3131301,255.0886045,266.861821,293.2839954,373.793162,417.6295688,457.7492324,473.0236595,534.3516843,640.8046235,621.6729025,647.2067833,750.1868159,758.042985,787.2417221,791.7954426,652.8316439,687.66915
Burundi,211.128693,209.7783795,191.1513064,168.1353889,181.1878344,167.0992538,143.3902526,158.907804,144.4807775,128.950686,111.1659472,101.5004491,93.68898707,86.18730055,95.33298029,151.6809659,167.3764922,172.4957452,198.3529988,211.4274429,234.2359215,249.5767335,251.7201698,256.9759434,274.8625611,276.6263131,279.3755494
Cambodia,189.1483706,242.0218659,248.719977,244.1000528,259.3734422,310.5586659,319.2884118,304.7697791,269.822539,295.5277337,301.6507999,321.7786184,339.4124982,362.8531568,408.5181561,474.1113858,539.74321,631.5251945,745.6094462,738.0542335,785.5025358,882.275616,950.880858,1016.130013,1093.496332,1162.904895,1269.591876
Cameroon,1087.785754,1014.302386,1003.937337,1031.550366,581.6301317,708.9202978,739.229444,687.9872202,722.0512582,717.3835076,647.5918191,654.2012877,719.5009586,877.0651689,988.7498367,1011.879991,1062.137414,1194.069894,1371.746845,1314.706041,1285.258493,1403.251643,1354.62269,1465.224315,1540.567131,1326.49993,1364.326711
Canada,21642.98538,21962.51214,21058.521,20283.61092,20093.68675,20776.30744,21406.92811,22021.79234,21118.25373,22387.43938,24347.9921,23931.26432,24396.49855,28441.56613,32269.63392,36473.44858,40547.87525,44603.34025,46581.98485,40734.32954,47361.08742,51907.24876,52364.83466,52333.94571,50569.52803,43193.74841,42060.16947
Cape Verde,1036.63885,1054.756585,1145.878698,1123.266093,1235.875476,1444.412704,1451.623194,1387.884607,1449.247423,1614.355465,1432.18499,1469.577504,1594.337011,2057.416027,2302.137468,2387.295123,2685.51729,3186.834196,3721.238989,3517.397872,3378.25458,3738.197803,3467.471254,3616.921103,3585.238369,3041.782597,3130.986829
Central African Republic,537.0659534,500.65259,499.2080764,439.2350484,284.0735346,362.1300268,318.7324694,289.2166861,291.2151719,293.9119323,262.8351275,261.9459096,272.8153058,307.2553044,335.5842309,349.8444928,373.3552754,418.0382214,475.7734058,467.8652865,463.6246804,512.8168517,504.1794984,351.9577862,393.2458769,363.2482443,399.1413022
Chad,307.4959085,295.5992149,298.280639,251.9965371,197.8873913,234.4140746,253.3837189,233.8665181,257.3129983,215.917496,188.5867899,224.0969611,250.6275559,330.3727487,515.8476133,661.6673094,712.7326688,776.2425636,927.0558279,815.2596865,917.8801245,1048.118059,1095.354963,1044.401775,1061.170959,828.465789,713.6863557
Chile,2630.454043,2956.730878,3515.317719,3672.613582,4139.147947,5222.152389,5412.899333,5836.435303,5522.607419,5016.838182,5107.635856,4605.251788,4469.279636,4800.372564,6197.927797,7598.525121,9464.550243,10502.35519,10751.47894,10208.90686,12808.03542,14637.24024,15351.55122,15842.94081,14670.99676,13574.17183,13748.08766
China,335.2631363,346.5307227,408.6620964,507.9645826,458.7912704,591.8871893,690.0958669,761.9687177,809.0211476,853.6804571,938.6156563,1030.998299,1124.836293,1262.279134,1477.870138,1717.765087,2056.262012,2637.69939,3394.237722,3748.020176,4447.066897,5486.05781,6163.955279,6875.914018,7458.960054,7829.959886,7876.657788
Colombia,1703.397247,1710.385262,1795.337715,2038.401752,2640.118635,2999.605262,3094.564389,3339.612864,3032.719245,2613.511247,2496.387821,2416.622625,2373.975003,2259.838768,2756.322452,3404.190224,3731.168478,4703.213074,5461.780701,5195.393369,6326.549349,7324.439706,8042.726956,8212.981058,8114.345453,6175.876132,5870.777521
Comoros,1240.936951,1213.381015,1270.885915,1222.438967,837.3359288,1016.448947,982.9491343,880.3902086,870.8640582,876.9995641,777.9791379,819.5441207,896.8287463,1127.084331,1275.930877,1287.284807,1334.853284,1238.461619,1387.594575,1339.337198,1315.216002,1446.069859,1403.427541,1504.919445,1511.815941,1271.057613,1271.846465
Congo,1303.903876,1299.575352,1228.89511,1093.898951,704.0019263,815.2725313,951.3979837,845.0595986,680.3074202,808.1664916,1074.037924,905.8379917,951.6736078,1070.418677,1381.403674,1752.739247,2153.492854,2262.856828,2892.41797,2290.599433,3200.484988,3741.57945,3923.091493,3851.631548,3991.294711,2284.044002,2009.996971
Costa Rica,2327.537124,2238.809452,2595.021879,2828.130835,3016.224988,3245.52526,3198.869519,3375.202618,3579.3208,3653.492678,3772.910819,3944.727617,4024.679562,4129.609771,4385.34065,4655.733391,5200.986947,6071.766949,6859.08015,6760.478026,8141.917761,9121.931798,9913.210708,10490.08065,10547.15185,11299.13618,11666.45661
Cote d'Ivoire,997.3129507,932.754394,939.1560218,840.3333022,605.2994995,782.0492564,827.7559893,774.727668,810.8628912,783.4880924,649.1492694,664.1278218,716.5338422,869.7123831,921.2054645,930.8297425,949.1318153,1061.061989,1235.613488,1210.29545,1211.930285,1220.703552,1243.191697,1415.791277,1559.386583,1425.951924,1482.658787
